id_municipio,ano,populacao
1101500,2002,12987
1101500,2003,13584
1101500,2004,16217
1101500,2005,15535
1101500,2006,16225
1101500,2007,11757
1101500,2008,12088
1101500,2009,12117
1101500,2010,11629
1101500,2011,11624
1101500,2012,11619
1101500,2013,12505
1101500,2014,12543
1101500,2015,12581
1101500,2016,12617
1101500,2017,12653
1101500,2018,11860
1101500,2019,11856
1101559,1996,
1101559,1997,5179
1101559,1998,5170
1101559,1999,5162
1101559,2001,5673
1101559,2002,5697
1101559,2003,5733
1101559,2004,5894
1101559,2005,5852
1101559,2006,5894
1101559,2007,4919
1101559,2008,5070
1101559,2009,5010
1101559,2010,4888
1101559,2011,4832
1101559,2012,4778
1101559,2013,5080
1101559,2014,5041
1101559,2015,5003
1101559,2016,4966
1101559,2017,4931
1101559,2018,4384
1101559,2019,4308
1101609,1992,7138
1101609,1993,7434
1101609,1994,7709
1101609,1995,7977
1101609,1996,8500
1101609,1997,8873
1101609,1998,9317
1101609,1999,9677
1101609,2001,11651
1101609,2002,12047
1101609,2003,12468
1101609,2004,14320
1101609,2005,13840
1101609,2006,14326
1101609,2007,9952
1101609,2008,10254
1101609,2009,10325
1101609,2010,10649
1101609,2011,10611
1101609,2012,10575
1101609,2013,11343
1101609,2014,11345
1101609,2015,11347
1101609,2016,11348
1101609,2017,11350
1101609,2018,10494
1101609,2019,10444
1101708,1992,11560
1101708,1993,11996
1101708,1994,12457
1101708,1995,12908
1101708,1996,14181
1101708,1997,14767
1101708,1998,15322
1101708,1999,15825
1101708,2001,15354
1101708,2002,15700
1101708,2003,16081
1101708,2004,17756
1101708,2005,17322
1101708,2006,17761
1101708,2007,13381
1101708,2008,13785
1101708,2009,13661
1101708,2010,12974
1101708,2011,12828
1101708,2012,12687
1101708,2013,13491
1101708,2014,13391
1101708,2015,13293
1101708,2016,13198
1101708,2017,13106
1101708,2018,11665
1101708,2019,11467
1101757,1996,
1101757,1997,6621
1101757,1998,7122
1101757,1999,7681
1101757,2001,8246
1101757,2002,8655
1101757,2003,9081
1101757,2004,10957
1101757,2005,10471
1101757,2006,10962
1101757,2007,8751
1101757,2008,8981
1101757,2009,9100
1101757,2010,9384
1101757,2011,9510
1101757,2012,9633
1101757,2013,10518
1101757,2014,10682
1101757,2015,10843
1101757,2016,10999
1101757,2017,11149
1101757,2018,11028
1101757,2019,11204
1101807,1992,9540
1101807,1993,9883
1101807,1994,10248
1101807,1995,10604
1101807,1996,9238
1101807,1997,9271
1101807,1998,9302
1101807,1999,9330
1101807,2001,9958
1101807,2002,10028
1101807,2003,10105
1101807,2004,10441
1101807,2005,10354
1101807,2006,10442
1101807,2007,8742
1101807,2008,9008
1101807,2009,8913
1101807,2010,8210
1101807,2011,8083
1101807,2012,7961
1101807,2013,8425
1101807,2014,8327
1101807,2015,8231
1101807,2016,8138
1101807,2017,8047
1101807,2018,6998
1101807,2019,6825
1200013,1992,5688
1200013,1993,5858
1200013,1994,6036
1200013,1995,6211
1200013,1996,6308
1200013,1997,6536
1200013,1998,6730
1200013,1999,6922
1200013,2001,8237
1200013,2002,8454
1200013,2003,8695
1200013,2004,10668
1200013,2005,11451
1200013,2006,11786
1200013,2007,11520
1200013,2008,11987
